s,m/s
Time,"DUCT_FLOW_RATE"
 2.4034629E+001, 3.4576958E-003
 2.4146976E+001, 3.4765032E-003
 2.4203150E+001, 3.4908621E-003
 2.4315498E+001, 3.5055278E-003
 2.4427845E+001, 3.5254073E-003
 2.4540193E+001, 3.5454523E-003
 2.4652540E+001, 3.5654367E-003
 2.4708714E+001, 3.5803561E-003
 2.4821061E+001, 3.5953401E-003
 2.4933409E+001, 3.6157660E-003
 2.5045756E+001, 3.6371064E-003
 2.5101930E+001, 3.6538217E-003
 2.5214277E+001, 3.6711591E-003
 2.5326625E+001, 3.6947210E-003
 2.5438972E+001, 3.7183315E-003
 2.5551320E+001, 3.7416575E-003
 2.5607494E+001, 3.7590289E-003
 2.5719841E+001, 3.7765697E-003
 2.5832189E+001, 3.8006535E-003
 2.5944536E+001, 3.8259470E-003
 2.6000710E+001, 3.8457271E-003
 2.6113057E+001, 3.8661174E-003
 2.6225405E+001, 3.8936941E-003
 2.6337752E+001, 3.9213588E-003
 2.6450100E+001, 3.9490965E-003
 2.6506273E+001, 3.9701767E-003
 2.6618621E+001, 3.9919103E-003
 2.6730968E+001, 4.0221788E-003
 2.6843316E+001, 4.0541173E-003
 2.6955663E+001, 4.0874874E-003
 2.7011837E+001, 4.1131178E-003
 2.7124185E+001, 4.1390736E-003
 2.7236532E+001, 4.1740133E-003
 2.7348880E+001, 4.2094859E-003
 2.7405053E+001, 4.2366202E-003
 2.7517401E+001, 4.2644850E-003
 2.7629748E+001, 4.3026673E-003
 2.7742096E+001, 4.3419482E-003
 2.7854443E+001, 4.3820549E-003
 2.7910617E+001, 4.4125436E-003
 2.8022964E+001, 4.4434910E-003
 2.8135312E+001, 4.4855759E-003
 2.8247659E+001, 4.5289463E-003
 2.8303833E+001, 4.5624030E-003
 2.8416181E+001, 4.5967432E-003
 2.8528528E+001, 4.6434718E-003
 2.8640876E+001, 4.6910163E-003
 2.8753223E+001, 4.7391933E-003
 2.8809397E+001, 4.7757765E-003
 2.8921744E+001, 4.8129716E-003
 2.9034092E+001, 4.8635650E-003
 2.9146439E+001, 4.9153396E-003
 2.9202613E+001, 4.9547178E-003
 2.9314961E+001, 4.9943394E-003
 2.9427308E+001, 5.0471185E-003
 2.9539656E+001, 5.0997095E-003
 2.9652003E+001, 5.1524236E-003
 2.9708177E+001, 5.1923748E-003
 2.9820524E+001, 5.2330987E-003
 2.9932872E+001, 5.2886134E-003
 3.0045219E+001, 5.3453780E-003
 3.0101393E+001, 5.3884075E-003
 3.0213740E+001, 5.4314801E-003
 3.0326088E+001, 5.4885838E-003
 3.0438435E+001, 5.5452132E-003
 3.0550783E+001, 5.6016194E-003
 3.0606957E+001, 5.6439894E-003
 3.0719304E+001, 5.6865187E-003
 3.0831652E+001, 5.7432853E-003
 3.0943999E+001, 5.7996721E-003
 3.1000173E+001, 5.8413896E-003
 3.1112520E+001, 5.8822899E-003
